1172824710729650176,2019-09-14 10:49:35,HomelandBulldo2,French Bulldog Puppies For Sale on #Google https://t.co/97k9e7254j,"['puppies', ['Google']]",False
1172820795690635264,2019-09-14 10:34:02,Watches_Top,Hush Puppies HP.3096M.1504 Men's Champagne Tone Rectngular Analog Watch https://t.co/nbwThYBbsZ,"['puppies', []]",False
1172820678908817408,2019-09-14 10:33:34,DenorEmpire,@TheBlarkKratos When are you expecting puppies,"['puppies', []]",False
1172820632863739904,2019-09-14 10:33:23,sharleenscheidl,Unleash the puppies! (35 Photos) 💓 https://t.co/3wOgTRm3fL,"['puppies', []]",False
1172820577654120448,2019-09-14 10:33:10,DerekFranks10,@LiveAction Soo sad!! If this was about Puppies The Hollywood people &amp; Athletes and The Media would be crying on Social Media &amp; The Professional Politicians be on The news Grandstanding! Babies They Don't care unless they from South of our Boarder!!!,"['puppies', []]",False
1172820478374895620,2019-09-14 10:32:46,pups4sale,Pure bred short haired sable German Shepherds https://t.co/JVil8Mga7f,"['puppies', []]",False
1172820401006755840,2019-09-14 10:32:28,swank_1k,@IrianChatman Tomorrow I will grab sumn my dog Gavin her puppies,"['puppies', []]",False
1172820391481565189,2019-09-14 10:32:25,SavithaKartha,"I want the baby, no wait I go for the puppies, OK I want BOTH! ❤️❤️😍😍☺️😘 https://t.co/57adlMHYcN","['puppies', []]",False
1172820216847446017,2019-09-14 10:31:44,amyballard14,I don’t want to hear anyone say all vet techs do is play with puppies all day..I started my shift at 8:30 Friday morning and it’s now 5:30 am on Saturday and I’m just now going home...and I’ll do it all again without blinking an eye because I love what I do.,"['puppies', []]",False
1172820156793462784,2019-09-14 10:31:29,animal_direct,"Bernedoodle Puppies for sale, #Bernedoodle in #Nebraska, #Omaha, $ 1,600 https://t.co/JR8eb3Na9d https://t.co/lNd3W4pQXZ","['puppies', ['Bernedoodle', 'Nebraska', 'Omaha']]",True
1172820076535455744,2019-09-14 10:31:10,BassetStar,"@kaylai @orzelc We've had the era of people buying their children hamsters, puppies and kittens... Perhaps it's time for the era of pet Tardigrades? 😂😍 So gosh darn adorable wiggling around! And near enough indestructible! Perfect for children!","['puppies', []]",False
1172819818451324928,2019-09-14 10:30:09,HoezCallMeDan,Bro I the whole family going to hell for this . The link proving that they’ve been selling these sick puppies for 3 years now is fucking disgusting . https://t.co/BfHkh7gNba,"['puppies', []]",False
1172819806287876096,2019-09-14 10:30:06,VideosPuppy,https://t.co/AkUCEIVqg2   With the puppy's  #PuppyVideos #PuppiesVideos #PuppyVideo #Dogs #Dog #Puppies #Puppy #Pets #Pet #CuteDogs #CuteDog #CutePuppies #CutePuppy,"['puppies', ['PuppyVideos', 'PuppiesVideos', 'PuppyVideo', 'Dogs', 'Dog', 'Puppies', 'Puppy', 'Pets', 'Pet', 'CuteDogs', 'CuteDog', 'CutePuppies', 'CutePuppy']]",False
1172819730916421632,2019-09-14 10:29:48,nildavanosdol,Unleash the puppies! (37 Photos) 💃 https://t.co/TTvfP1d1tq,"['puppies', []]",False
1172819729289007104,2019-09-14 10:29:48,iSendim_,Just gonna spend the rest of my weekend within puppies cos clearly I don’t know how to behave 💀,"['puppies', []]",False
1172819682933530624,2019-09-14 10:29:37,JeffMindrup,"@ProfTimNoakes If you told me Ancel Keys tortured beagle puppies as a hobby, I don't think I could hate him any more than I already do.  The man was a monster and the havoc, pain and destruction he left in his wake is UNEQUALED in human history and still continues daily throughout the globe.","['puppies', []]",False
1172819310865027072,2019-09-14 10:28:08,Wantaddigest,Labradoodle Puppies https://t.co/JQPTixeyjK https://t.co/MI684dT0QG,"['puppies', []]",True
1172819305630769152,2019-09-14 10:28:07,Wantaddigest,Golden Retriever Puppies https://t.co/tw3AuxCYe8 https://t.co/C0Z7FDQzfg,"['puppies', []]",True
1172819023320371200,2019-09-14 10:26:59,nct95official,kitty yutae with their puppies 🥰🥰🥰🥰 https://t.co/lvpq3UKWTi,"['puppies', []]",True
1172818462927802368,2019-09-14 10:24:46,RonTheDogTrainR,Puppies housebreaking https://t.co/lDllIO728O,"['puppies', []]",False
1172817942796541952,2019-09-14 10:22:42,dustybrogdon,"I know I have the cutest puppies. Like, fuck you for thinking otherwise. https://t.co/v1RkVwtPlI","['puppies', []]",True
1172817917160771584,2019-09-14 10:22:36,WhatsYo70344542,@VaGyver When I was little I thought cats were girls &amp; dogs were boys. I thought they got together &amp; had puppies &amp; kittens. Imagine my shock when i learned the truth!😲😲😲😜,"['puppies', []]",False
1172817797166116865,2019-09-14 10:22:07,Shona_Mu,@Girl_by_the_Aga No puppies but got a cute doggo https://t.co/9aWS86IWiG,"['puppies', []]",True
1172817683332706304,2019-09-14 10:21:40,SoloNovo,@keafirst_ Haibo puppies are the best yo.,"['puppies', []]",False
1172817671240466432,2019-09-14 10:21:37,coffeebean222,"#DIDYOUKNOW #Twitter some people take puppies away from their mummies too early, &amp; they are sold to a home who just leave them downstairs all alone in the dark at night, &amp; tell them off when they cry cos they’re scared, cold &amp; lonely without their real family😢  #animalcruelty","['puppies', ['DIDYOUKNOW', 'Twitter', 'animalcruelty']]",False
1172817590789595137,2019-09-14 10:21:18,BadTwitBot,"Tonight is a new Kevin Spacey: Acknowledging people who kick puppies and  talking about patriotism, equality &amp; liberty.","['puppies', []]",False
1172817353861718016,2019-09-14 10:20:21,FeralMother44,@PranMan @DrLindaDykes Or cute kitten or playing puppies so your brain has this more endearing image??!,"['puppies', []]",False
1172817277336424448,2019-09-14 10:20:03,Wantaddigest,Cocker Spaniel Puppies https://t.co/crGqYQCxbi https://t.co/hN1sd6ys2n,"['puppies', []]",True
1172816783406968833,2019-09-14 10:18:05,Elaine93845028,Texas French Bulldog Couple Poses for Maternity Shoot to Prepare for Puppies https://t.co/HVX2KnJ9YV via @people,"['puppies', []]",False
1172816592100646912,2019-09-14 10:17:20,the_k9_guy,Service Dog for Special Needs Teen 9 Lbs of Matted Hair Removed from Dog Known Dangerous Dog Attack TODAY's VIDEO - Mother Dog Helps Aid Worker Save Her Puppies Daily News + Videos -  https://t.co/iKVSc2Ndrb,"['puppies', []]",False
1172816065631592450,2019-09-14 10:15:14,VideosPuppy,https://t.co/8191m5c4eV   PiP camera effects for cute puppy collages | Photo Editor | PiP effects | PiP collage  #PuppyVideos #PuppiesVideos #PuppyVideo #Dogs #Dog #Puppies #Puppy #Pets #Pet #CuteDogs #CuteDog #CutePuppies #CutePuppy https://t.co/oxAfhjpGvD,"['puppies', ['PuppyVideos', 'PuppiesVideos', 'PuppyVideo', 'Dogs', 'Dog', 'Puppies', 'Puppy', 'Pets', 'Pet', 'CuteDogs', 'CuteDog', 'CutePuppies', 'CutePuppy']]",True
1172815808537513985,2019-09-14 10:14:13,DazMcNally,Saw 3 different puppies throughout my day yesterday and I feel truly blessed 🙌🏼,"['puppies', []]",False
1172815681013854208,2019-09-14 10:13:42,Yamiiyamilexx,I don’t wanna sell our puppies and if I do thennn they gotta go to someone we know so we can still see them and they have okay dates 🥺,"['puppies', []]",False
1172815071816241153,2019-09-14 10:11:17,gooofyari,My puppies are cuddled up on me I’m going to cry I feel the love,"['puppies', []]",False
1172814932678762502,2019-09-14 10:10:44,Lexiejo2639,"@zillarage I had to start Labeling my Labrador Lane pics on my FB, ppl were screenshotting my puppies &amp; posting them for sale to get deposits from ppl. Law couldnt do anything because I didnt have my pics labeled/trademarked proof that they were mine. Now I use an app, my name is across pic","['puppies', []]",False
1172814763916746754,2019-09-14 10:10:04,lyssarden,@NanoEevee @BTS_twt one of my fav puppies too! 💜 #PCAs #TheMusicVideo #BoyWithLuv @BTS_twt,"['puppies', ['PCAs', 'TheMusicVideo', 'BoyWithLuv']]",False
1172814726671273985,2019-09-14 10:09:55,TheRealPhilBall,Lazy morning for the missis and the puppies https://t.co/hwnWWjUi0t,"['puppies', []]",True
1172814274986762241,2019-09-14 10:08:07,camelf6,@smego155 @BTS_twt They are like puppies and kittens piled up in sleep.  @BTS_twt #TheGroup #BTS #PCAs  2019,"['puppies', ['TheGroup', 'BTS', 'PCAs']]",False
1172814215385616389,2019-09-14 10:07:53,okaysihle,@off_dank i just love puppies as soon as it gets old that’s when i don’t want nothing to do with it 😹😹🙆🏾‍♀️,"['puppies', []]",False
1172814163170619392,2019-09-14 10:07:40,sierras_ar,I’m so excited for some baby Huxley and Brazos puppies to arrive,"['puppies', []]",False
1172813958555635713,2019-09-14 10:06:52,thedjcronin,"So today, we welcomed these beautiful twins to our family. Meet Tilly and Trixie - 7 weeks old! #dogs #dogsoftwitter #Puppies #lovedogs #TwinSoul #cute #love https://t.co/5YnTvmtdRm","['puppies', ['dogs', 'dogsoftwitter', 'Puppies', 'lovedogs', 'TwinSoul', 'cute', 'love']]",True
1172813825382289409,2019-09-14 10:06:20,jenazantian,"@elbaip We do that, too! It definitely wears them out, at least for a while. Alas, they are both ""puppies"" with puppy energy.","['puppies', []]",False
1172813754129625088,2019-09-14 10:06:03,wendiluxe,Them fluffy puppies omg  https://t.co/6jeFYARApe,"['puppies', []]",True
1172813242755887105,2019-09-14 10:04:01,Jmkmutuma,"@nargis_marian @Miss_Khaimia Can't wait to see your September 11, 2029 you happy puppies.","['puppies', []]",False
1172812709030584321,2019-09-14 10:01:54,kkeunbi,PUPPIES!! WEARING!! SCARFS!!! ON!! THEIR!! NECKS!!!,"['puppies', []]",False
1172812496664748032,2019-09-14 10:01:03,anneke_andries,"https://t.co/Ibb1XGFGw2 Ulan-Ude. East-Siberia, Russia. TsASS LLC, is a company for the capture and killing of street animals, 800 dogs, pets, cats every month; in public, in front of children,children beating up little puppies! Stop the contract, start TNR, inform the public!","['puppies', []]",False
1172812434886676480,2019-09-14 10:00:48,PuppyHappiest,Let's all wish him all the best! The only thing better than eternal love is puppies. Sarah Mallouk Crain and her bridal party opt for rescue dogs instead of bouquets. Watch a video at https://t.co/6C4Fc4Azta https://t.co/AHziUKDmFf,"['puppies', []]",True
1172812285376679936,2019-09-14 10:00:13,KarsynLaine18,My parents keep sending me pictures of our new puppies as our dog has one and it’s honestly the only thing getting me through my shift,"['puppies', []]",False
1172811938411106305,2019-09-14 09:58:50,BWylene,I think WE ALL need paisley puppies in our life https://t.co/CCy7JuWkpc,"['puppies', []]",False
1172811498378465281,2019-09-14 09:57:05,VideosPuppy,https://t.co/KenTaD4tFG   My puppy Buddy  #PuppyVideos #PuppiesVideos #PuppyVideo #Dogs #Dog #Puppies #Puppy #Pets #Pet #CuteDogs #CuteDog #CutePuppies #CutePuppy,"['puppies', ['PuppyVideos', 'PuppiesVideos', 'PuppyVideo', 'Dogs', 'Dog', 'Puppies', 'Puppy', 'Pets', 'Pet', 'CuteDogs', 'CuteDog', 'CutePuppies', 'CutePuppy']]",False
1172811496742694913,2019-09-14 09:57:05,EnglishBullTer,"All puppies should be checked for deafness, which occurs in 20% of pure white Bull Terriers and 1% of colored Bull Terriers. #BullPuppies","['puppies', ['BullPuppies']]",False
1172811428618756096,2019-09-14 09:56:49,aussiepuppies,Pomeranian puppies https://t.co/ZqjZAnIZQn,"['puppies', []]",False
1172810933782999041,2019-09-14 09:54:51,MKatrinaaa,I want to adopt all them puppies in the adoption page!!!😫😫😫,"['puppies', []]",False
1172810289177387008,2019-09-14 09:52:17,Ncttaeyu,@NCTsmtown_127 kittens met their puppies 🐶🐱 https://t.co/pLvBtlU122,"['puppies', []]",True
1172809875828686848,2019-09-14 09:50:38,stellanjogo,Puppies make everything better 😍 https://t.co/6CtzuA6fAe,"['puppies', []]",False
1172809649394864129,2019-09-14 09:49:44,annadicp,kelly marie tran playing with puppies GIVE IT TO ME NOW!,"['puppies', []]",False
1172809488140664832,2019-09-14 09:49:06,chaewoncraft,My puppies wont stop barking its 3 am haha yall are fed and comfy what else do you want https://t.co/HNSOqWHUcR,"['puppies', []]",True
1172809263980269568,2019-09-14 09:48:12,desleyjane,The Puppies of Gilpin Park https://t.co/aSU187BZHN https://t.co/5VZrKV9Svq,"['puppies', []]",True
1172809010174713856,2019-09-14 09:47:12,sprior17,@PaolaBonfadelli Good morning cute puppies! 😍,"['puppies', []]",False
1172808875742904320,2019-09-14 09:46:40,amoursofties,2 puppies 🥺🥺🥺🥺🥺🥺 https://t.co/tf9XwjGTzc,"['puppies', []]",False
1172808794364997633,2019-09-14 09:46:20,kevlarracer,"@tyler_casper @pinkcouchlady9 Tardigrades, mud, videos of cats and puppies tasting lemons.  Ok there is a lot of things that bring out a smile for me, unfortunatly twitter has a character limit.","['puppies', []]",False
1172807819688628225,2019-09-14 09:42:28,nohedgehogs,How to watch two vlives simultaneously omg Heesun with puppies and Eat Jin 😭,"['puppies', []]",False
1172807597746843648,2019-09-14 09:41:35,changetheranger,@nerdjpg like yes 😌 these puppies are so cute I can get all the way home before I have to stress about my classes,"['puppies', []]",False
1172807327071768578,2019-09-14 09:40:31,Nkamo25,@nthips90 waitse ke eng  m not fine..and her reason is that kana she was having her snack and puppies wanted something to eat aswell!ntshwareng!!😭,"['puppies', []]",False
1172807061157097472,2019-09-14 09:39:27,MellyMaestro,"@LauraKidman My feed is all Tom Holland, pigs, puppies and clothes. I win.","['puppies', []]",False
1172806398742130694,2019-09-14 09:36:49,jaechendary,@NCTsmtown_127 TWO PUPPIES,"['puppies', []]",False
1172805920608391170,2019-09-14 09:34:55,DealsDogs,Maltis KCI Register Puppies For Sale In India Import Champion Line 9350926445 Show Quality Top Blood Line Male And Female Puppies Avilable For Sale In Faridabad Delhi NCR Haryana Chandigarh Punjab Gurugram Noida… https://t.co/ZjdP5ZsaPp,"['puppies', []]",False
1172805673475641344,2019-09-14 09:33:56,Ncttaeyu,@YUTAEkmyHEART sameㅠㅠㅠㅠ both missed their puppies 😭😍 . when will we have yutae and ruby x rapunzel content 😢😭,"['puppies', []]",False
1172805338959142913,2019-09-14 09:32:37,babydollbucky2,@BuckyBabyboy An giant fruit bat! They're sky puppies and look like foxes! I love them.,"['puppies', []]",False
1172805038613389312,2019-09-14 09:31:25,BizLemon,The number of chow chow puppies in Paris... worth the trip alone. 🖤,"['puppies', []]",False
1172804840403165184,2019-09-14 09:30:38,jaackie_s,"Never in my life did I think I’d be such a dog person. Yet, here I am, snuggling two puppies in my bed 🥰","['puppies', []]",False
1172804603013939200,2019-09-14 09:29:41,blegge65,@pulte Played with puppies and pet s goat https://t.co/WeHAKODpC3,"['puppies', []]",True
1172804325120364545,2019-09-14 09:28:35,VisionInBlue,@aguitarpenter PUPPIES!!!! 😍,"['puppies', []]",False
1172804294485004290,2019-09-14 09:28:28,MTNrhyno,"Reminds me of that one time just after I started when one of my puppies hopped on my lap, puked, and ran away https://t.co/jYhYqRInHb","['puppies', []]",False
1172804222552879105,2019-09-14 09:28:10,VideosPuppy,https://t.co/5175RsyQyA   Evie Fox Red Labrador-head trapped in this when a puppy  #PuppyVideos #PuppiesVideos #PuppyVideo #Dogs #Dog #Puppies #Puppy #Pets #Pet #CuteDogs #CuteDog #CutePuppies #CutePuppy,"['puppies', ['PuppyVideos', 'PuppiesVideos', 'PuppyVideo', 'Dogs', 'Dog', 'Puppies', 'Puppy', 'Pets', 'Pet', 'CuteDogs', 'CuteDog', 'CutePuppies', 'CutePuppy']]",False
1172803722780524544,2019-09-14 09:26:11,bcnul8tr,@1goddessrp The puppies! 😍😍😍🔥🔥🔥,"['puppies', []]",False
1172803702501117952,2019-09-14 09:26:06,foldingknifeusa,5″ Straight Bully Sticks for Dogs [X-LARGE THICKNESS] (50 Pack) – All Natural &amp; Odorless Bully Bones | Long Lasting Chew Dental Treats | Best Thick Bullie Sticks for K9 or Puppies | Grass-Fed Beef Review https://t.co/t98gcQSvLf https://t.co/ttuyfuSplb,"['puppies', []]",True
1172803664764964869,2019-09-14 09:25:57,ggukstv,@MINlM0Nl @jharchives PUPPIES MAKE HIM SO HAPPY,"['puppies', []]",False
1172803587929456641,2019-09-14 09:25:39,bvanhool,"THIS DECISION TO RELEASE UNALTERED DOGS IN A MOSTLY VERY POOR COMMUNITY UNABLE TO SPAY AND NEUTER WILL ADD TO THE GENERAL DOGS MISERY, MORE ROAMING IN THE STREETS, MORE DRAGGING THEIR BODY CAUSE HIT BY CARS, MORE PREGNANT WITH LOOSE PUPPIES, MORE UNVACC. SICK, MORE 💀 IN SHELTERS https://t.co/7cwyc8B04N","['puppies', []]",False
1172803541431443461,2019-09-14 09:25:28,cprefrigerator,5″ Straight Bully Sticks for Dogs [X-LARGE THICKNESS] (50 Pack) – All Natural &amp; Odorless Bully Bones | Long Lasting Chew Dental Treats | Best Thick Bullie Sticks for K9 or Puppies | Grass-Fed Beef Review https://t.co/8ktWofCGJl https://t.co/sdj1VNxDyt,"['puppies', []]",True
1172803474825912320,2019-09-14 09:25:12,trendynsimpled1,#dogs #puppies 500 cm Long Basic Simple Dog Leash https://t.co/ZC1vYD2CzA,"['puppies', ['dogs', 'puppies']]",True
1172803399097573376,2019-09-14 09:24:54,DogClubLife,Reflective Engraved Nylon Dog's Collar  https://t.co/sE2VipofJM  #dogsoftwitter #dogslife #dogs #dog #doggo #dogstuff #puppies #puppy https://t.co/E5RtR4XrvK,"['puppies', ['dogsoftwitter', 'dogslife', 'dogs', 'dog', 'doggo', 'dogstuff', 'puppies', 'puppy']]",True
1172803375391363074,2019-09-14 09:24:48,JazzyEbooks,I hate puppies with ears ##nohomo,"['puppies', ['nohomo']]",False
1172803238371975169,2019-09-14 09:24:16,kitchencabine16,5″ Straight Bully Sticks for Dogs [X-LARGE THICKNESS] (50 Pack) – All Natural &amp; Odorless Bully Bones | Long Lasting Chew Dental Treats | Best Thick Bullie Sticks for K9 or Puppies | Grass-Fed Beef Review https://t.co/yNVm4SfINQ https://t.co/d1YrZA881K,"['puppies', []]",True
1172803097816682496,2019-09-14 09:23:42,JulietMcKenzi15,Cat Babysitting Adorable Golden Puppies You’re welcome 💖https://t.co/fxZFFh7L55 via @YouTube,"['puppies', []]",False
1172802832740888576,2019-09-14 09:22:39,llovgi,@NCTsmtown_127 two (2) puppies,"['puppies', []]",False
1172802737391767552,2019-09-14 09:22:16,taeunisbloem,@NCTsmtown_127 all i can see is two of the cutest puppies,"['puppies', []]",False
1172802737353965573,2019-09-14 09:22:16,Dogcarrier111,Mother dog helps rescuers dig for her buried puppies https://t.co/1CfcGOOszu,"['puppies', []]",False
1172802687928360962,2019-09-14 09:22:05,dogcarseat1,5″ Straight Bully Sticks for Dogs [X-LARGE THICKNESS] (50 Pack) – All Natural &amp; Odorless Bully Bones | Long Lasting Chew Dental Treats | Best Thick Bullie Sticks for K9 or Puppies | Grass-Fed Beef Review https://t.co/cANv5pSwSY https://t.co/VWu0g0sCub,"['puppies', []]",True
1172802582273769472,2019-09-14 09:21:39,leemicinho,Two pUPPIES SHUT UP https://t.co/pGpYjonUjI,"['puppies', []]",False
1172802548945829889,2019-09-14 09:21:31,tiny_jimi,two puppies https://t.co/YOV83nA6L2,"['puppies', []]",False
1172802529916153857,2019-09-14 09:21:27,pjmlocket,heesun has the cutest puppies 😭,"['puppies', []]",False
1172802504939229186,2019-09-14 09:21:21,tamsinpritchard,@drjgreenwood @prittstick99 Basset puppies are the cutest,"['puppies', []]",False
1172802493769756672,2019-09-14 09:21:18,stypeeed_al,@NCTsmtown_127 I LOVE YOU MY LITTLE PUPPIES,"['puppies', []]",False
1172802068094083072,2019-09-14 09:19:37,darko316,"Confucius Say; When hole appears in Flapjack, Cook will find Oats on Puppies head... #StartAgain #AssholeDog #ItWasAllGoingSoWell #PointersOfInstagram @ Dorchester Football Stadium https://t.co/YNgYZPkUCc","['puppies', ['StartAgain', 'AssholeDog', 'ItWasAllGoingSoWell', 'PointersOfInstagram']]",False
1172802014021136384,2019-09-14 09:19:24,Camgart,@Kraturescuedog So sorry about  the wee puppies,"['puppies', []]",False
1172801811461419008,2019-09-14 09:18:36,dogtraincollar2,5″ Straight Bully Sticks for Dogs [X-LARGE THICKNESS] (50 Pack) – All Natural &amp; Odorless Bully Bones | Long Lasting Chew Dental Treats | Best Thick Bullie Sticks for K9 or Puppies | Grass-Fed Beef Review https://t.co/eDHWHu4dHy https://t.co/O4y8QBDNYz,"['puppies', []]",True
1172801693970522114,2019-09-14 09:18:08,sunsuqa,@NCTsmtown_127 BABIES PUPPIES,"['puppies', []]",False
1172801564530139136,2019-09-14 09:17:37,kireijeon,@NCTsmtown_127 two puppies 😔😔😔,"['puppies', []]",False
1172801489833738240,2019-09-14 09:17:19,taeyongies_love,TWO PUPPIES https://t.co/Z8d5aFbUDc,"['puppies', []]",True
1172801368580665344,2019-09-14 09:16:50,wowkwan_ace,I HONESTLY DIDN'T EVEN REALIZE THAT JUNHEE GOING HOME MEANS REUNION WITH LION MEANS PICTURES WITH LION AND I DON'T KNOW WHAT TO DO BECAUSE I JUST WASN'T READY AT ALL FOR THIS LOOK AT MY TWO FAVORITE PUPPIES https://t.co/OHscIK2VZJ,"['puppies', []]",True
1172801214045491200,2019-09-14 09:16:13,jenneuri,@cheskapg_ u never let me come over &amp; see ur puppies,"['puppies', []]",False
1172801189613846529,2019-09-14 09:16:07,Nkamo25,Motho o file her puppies my Mug n bean blueberry muffin!ntshwareng!😭,"['puppies', []]",False
1172801092658221057,2019-09-14 09:15:44,monstadayteez,maybe the reason why ateez still doesn't have an interview with puppies is because they already have yunho,"['puppies', []]",False
1172801019539054593,2019-09-14 09:15:27,loverjaem,there r. 2 puppies :DD https://t.co/GT3jTVfiMt,"['puppies', []]",True
1172800942502305792,2019-09-14 09:15:08,Malll23041838,@NCTsmtown_127 Two Puppies 🥺🥺💗,"['puppies', []]",False
1172800926991769600,2019-09-14 09:15:05,FinerByNature,"Buffalo Sticks – Dried Buffalo for dogs, a lean, low fat dog chew, tasty and ideal for all ages, including puppies and the smallest mouths.  https://t.co/L71IOyd8zV  #Dogs #Dogfood #Dogtreats #LoveDogs https://t.co/DDeaE4AxS8","['puppies', ['Dogs', 'Dogfood', 'Dogtreats', 'LoveDogs']]",True
1172800433569579010,2019-09-14 09:13:07,Chilaz10,@Seqsi Sis!!!! No please.. Now we need to kill puppies to restore balance in the Universe.,"['puppies', []]",False
1172800120531771393,2019-09-14 09:11:52,GRHYMEFOOL,And she had more puppies today wtf lol https://t.co/E5bcOmKrnb,"['puppies', []]",True
1172800089884168193,2019-09-14 09:11:45,tinathecrow1,@samwisegamzee can i abandon scientific community for puppies,"['puppies', []]",False
1172799990693027841,2019-09-14 09:11:22,Jennykeane6,"@RidRidapathy @reddogsusie Please someone find it in your hearts to save Rose, 💔💔she doesn't deserve to die she's already lost her puppies please don't let her die like this 💔💔💔💔😥😥😥😥😥😥💔💔💔💔💔💔😥😥😥 https://t.co/DYCe4bw4ej","['puppies', []]",True
1172799756206129152,2019-09-14 09:10:26,louyalfan,“Smile. Have you ever noticed how easily puppies make human friends? Yet all they do is wag their tails and fall over.” – Walter Anderson  LOUDRE ShinesAtABSCBNBall,"['puppies', []]",False
1172799698018738177,2019-09-14 09:10:12,ryugazakibae,My shoulder is in bits wrestling the puppies onto the house but blivvy is officially enroute to uni,"['puppies', []]",False
1172799490933149696,2019-09-14 09:09:22,YassssCheryl,Today was definitely Friday the 13 nightmare at work. Had to do 2 surprise c-sections. But I finally learned how to properly wake puppies 😁,"['puppies', []]",False
1172799390739623939,2019-09-14 09:08:58,thehuntinghouse,@OmahaVike @ewarren Nonsense. Most billionaires are sick puppies and their children are unhappy. Why would I envy them? I want to disempower them. I don’t want to *become* them; that’s for liberals,"['puppies', []]",False
1172799208627298305,2019-09-14 09:08:15,eroninidaniel,ALERT!!! Havanese Puppies For Sale At A Giveaway Price. #Abuja Only.  @matthewamad @OgbeniDipo @Omojuwa @Ochemercy3  #AbujaTwitterCommunity #BBNaijia  #SaturdayMorning https://t.co/4QnTODoFqE,"['puppies', ['Abuja', 'AbujaTwitterCommunity', 'BBNaijia', 'SaturdayMorning']]",True
